"map_id","category","creature_entry","creature_name","reason"
"129","dungeon","14686","Lady Falther'ess","#330 scan: boss_ script, 1 spawn, 2 blue+ own loot rows"
"189","dungeon","3983","Interrogator Vishas","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"189","dungeon","14693","Scorn","#330 scan: boss_ script, 1 spawn, 3 blue+ own loot rows"
"229","dungeon","16042","Lord Valthalak","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"230","dungeon","8929","Princess Moira Bronzebeard","#330 scan: boss_ script, 1 spawn, 5 blue+ own loot rows"
"230","dungeon","9018","High Interrogator Gerstahn","#330 scan: boss_ script, 1 spawn, 5 blue+ own loot rows"
"230","dungeon","9019","Emperor Dagran Thaurissan","#330 scan: boss_ script, 1 spawn, 13 blue+ own loot rows"
"230","dungeon","9499","Plugger Spazzring","#330 scan: boss_ script, 1 spawn, 2 blue+ own loot rows"
"269","dungeon","65113","Chronar","#330 scan: boss_ script, 1 spawn, 7 blue+ own loot rows"
"269","dungeon","65116","Time-Lord Epochronos","#330 scan: boss_ script, 1 spawn, 19 blue+ own loot rows"
"269","dungeon","65125","Antnormi","#330 scan: rank 3 boss, 1 spawn, 13 blue+ own loot rows"
"289","dungeon","10503","Jandice Barov","#330 scan: boss_ script, 1 spawn, 8 blue+ own loot rows"
"289","dungeon","10505","Instructor Malicia","#330 scan: boss_ script, 1 spawn, 2 blue+ own loot rows"
"289","dungeon","11261","Doctor Theolen Krastinov","#330 scan: boss_ script, 1 spawn, 2 blue+ own loot rows"
"289","dungeon","14695","Lord Blackwood","#330 scan: boss_ script, 1 spawn, 3 blue+ own loot rows"
"309","raid","11380","Jin'do the Hexxer","#330 scan: rank 3 boss, 1 spawn, 25 blue+ own loot rows"
"309","raid","11382","Bloodlord Mandokir","#330 scan: rank 3 boss, 1 spawn, 26 blue+ own loot rows"
"309","raid","14507","High Priest Venoxis","#330 scan: rank 3 boss, 1 spawn, 6 blue+ own loot rows"
"309","raid","14510","High Priestess Mar'li","#330 scan: rank 3 boss, 1 spawn, 7 blue+ own loot rows"
"309","raid","14517","High Priestess Jeklik","#330 scan: rank 3 boss, 1 spawn, 7 blue+ own loot rows"
"309","raid","14599","High Priest Thekal","#330 scan: rank 3 boss, 1 spawn, 27 blue+ own loot rows"
"309","raid","14834","Hakkar","#330 scan: rank 3 boss, 1 spawn, 15 blue+ own loot rows"
"309","raid","15114","Gahz'ranka","#330 scan: rank 3 boss, 1 spawn, 6 blue+ own loot rows"
"329","dungeon","10436","Baroness Anastari","#330 scan: boss_ script, 1 spawn, 6 blue+ own loot rows"
"329","dungeon","10438","Maleki the Pallid","#330 scan: boss_ script, 1 spawn, 7 blue+ own loot rows"
"409","raid","11988","Golemagg the Incinerator","#330 scan: rank 3 boss, 1 spawn, 25 blue+ own loot rows"
"409","raid","52145","Incindis","#330 scan: rank 3 boss, 1 spawn, 31 blue+ own loot rows"
"409","raid","57642","Sorcerer-Thane Thaurissan","#330 scan: rank 3 boss, 1 spawn, 21 blue+ own loot rows"
"409","raid","65020","Basalthar","#330 scan: rank 3 boss, 1 spawn, 17 blue+ own loot rows"
"409","raid","65021","Smoldaris","#330 scan: rank 3 boss, 1 spawn, 5 blue+ own loot rows"
"429","dungeon","11486","Prince Tortheldrin","#330 scan: boss_ script, 1 spawn, 21 blue+ own loot rows"
"429","dungeon","11487","Magister Kalendris","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"429","dungeon","11501","King Gordok","#330 scan: boss_ script, 1 spawn, 21 blue+ own loot rows"
"429","dungeon","14324","Cho'Rush the Observer","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"469","raid","11981","Flamegor","#330 scan: rank 3 boss, 1 spawn, 6 blue+ own loot rows"
"469","raid","11983","Firemaw","#330 scan: rank 3 boss, 1 spawn, 8 blue+ own loot rows"
"469","raid","12017","Broodlord Lashlayer","#330 scan: rank 3 boss, 1 spawn, 26 blue+ own loot rows"
"469","raid","12435","Razorgore the Untamed","#330 scan: rank 3 boss, 1 spawn, 24 blue+ own loot rows"
"469","raid","13020","Vaelastrasz the Corrupt","#330 scan: rank 3 boss, 1 spawn, 24 blue+ own loot rows"
"469","raid","14020","Chromaggus","#330 scan: rank 3 boss, 1 spawn, 32 blue+ own loot rows"
"469","raid","14601","Ebonroc","#330 scan: rank 3 boss, 1 spawn, 21 blue+ own loot rows"
"509","raid","15339","Ossirian the Unscarred","#330 scan: rank 3 boss, 1 spawn, 51 blue+ own loot rows"
"509","raid","15340","Moam","#330 scan: rank 3 boss, 1 spawn, 27 blue+ own loot rows"
"509","raid","15341","General Rajaxx","#330 scan: rank 3 boss, 1 spawn, 18 blue+ own loot rows"
"509","raid","15348","Kurinnaxx","#330 scan: rank 3 boss, 1 spawn, 17 blue+ own loot rows"
"509","raid","15369","Ayamiss the Hunter","#330 scan: rank 3 boss, 1 spawn, 21 blue+ own loot rows"
"509","raid","15370","Buru the Gorger","#330 scan: rank 3 boss, 1 spawn, 20 blue+ own loot rows"
"531","raid","15263","The Prophet Skeram","#330 scan: rank 3 boss, 1 spawn, 23 blue+ own loot rows"
"531","raid","15275","Emperor Vek'nilash","#330 scan: rank 3 boss, 1 spawn, 11 blue+ own loot rows"
"531","raid","15276","Emperor Vek'lor","#330 scan: rank 3 boss, 1 spawn, 10 blue+ own loot rows"
"531","raid","15299","Viscidus","#330 scan: rank 3 boss, 1 spawn, 18 blue+ own loot rows"
"531","raid","15509","Princess Huhuran","#330 scan: rank 3 boss, 1 spawn, 17 blue+ own loot rows"
"531","raid","15510","Fankriss the Unyielding","#330 scan: rank 3 boss, 1 spawn, 22 blue+ own loot rows"
"531","raid","15511","Lord Kri","#330 scan: rank 3 boss, 1 spawn, 19 blue+ own loot rows"
"531","raid","15516","Battleguard Sartura","#330 scan: rank 3 boss, 1 spawn, 22 blue+ own loot rows"
"531","raid","15543","Princess Yauj","#330 scan: rank 3 boss, 1 spawn, 20 blue+ own loot rows"
"531","raid","15544","Vem","#330 scan: rank 3 boss, 1 spawn, 19 blue+ own loot rows"
"531","raid","15727","C'Thun","#330 scan: rank 3 boss, 1 spawn, 20 blue+ own loot rows"
"532","raid","61221","Brood Queen Araxxna","#330 scan: rank 3 boss, 1 spawn, 27 blue+ own loot rows"
"532","raid","61223","Clawlord Howlfang","#330 scan: rank 3 boss, 1 spawn, 28 blue+ own loot rows"
"532","raid","61224","Grizikil","#330 scan: rank 3 boss, 1 spawn, 26 blue+ own loot rows"
"532","raid","61225","Moroes","#330 scan: rank 3 boss, 1 spawn, 35 blue+ own loot rows"
"533","raid","15928","Thaddius","#330 scan: rank 3 boss, 1 spawn, 12 blue+ own loot rows"
"533","raid","15931","Grobbulus","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"533","raid","15932","Gluth","#330 scan: rank 3 boss, 1 spawn, 18 blue+ own loot rows"
"533","raid","15936","Heigan the Unclean","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"533","raid","15952","Maexxna","#330 scan: rank 3 boss, 1 spawn, 12 blue+ own loot rows"
"533","raid","15953","Grand Widow Faerlina","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"533","raid","15954","Noth the Plaguebringer","#330 scan: rank 3 boss, 1 spawn, 11 blue+ own loot rows"
"533","raid","15956","Anub'Rekhan","#330 scan: rank 3 boss, 1 spawn, 10 blue+ own loot rows"
"533","raid","15989","Sapphiron","#330 scan: rank 3 boss, 1 spawn, 24 blue+ own loot rows"
"533","raid","15990","Kel'Thuzad","#330 scan: rank 3 boss, 1 spawn, 31 blue+ own loot rows"
"533","raid","16011","Loatheb","#330 scan: rank 3 boss, 1 spawn, 12 blue+ own loot rows"
"533","raid","16028","Patchwerk","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"533","raid","16060","Gothik the Harvester","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"533","raid","16061","Instructor Razuvious","#330 scan: rank 3 boss, 1 spawn, 10 blue+ own loot rows"
"800","dungeon","91916","Archlich Enkhraz","#330 scan: rank 3 boss, 1 spawn, 7 blue+ own loot rows"
"800","dungeon","91917","Corpsemuncher","#330 scan: rank 3 boss, 1 spawn, 8 blue+ own loot rows"
