"map_id","category","gameobject_entry","gameobject_name","reason"
"209","dungeon","141596","Witch Doctor's Chest","#345 chest census: 1 spawn, own table 56 rows, 2 blue+, 0 epic+, not shared"
"230","dungeon","161495","Secret Safe","#345 chest census: 1 spawn, own table 4 rows, 4 blue+, 0 epic+, not shared"
"230","dungeon","169243","Chest of The Seven","#345 chest census: 1 spawn, own table 9 rows, 8 blue+, 0 epic+, not shared"
"230","dungeon","181074","Arena Spoils","#345 chest census: 1 spawn, own table 4 rows, 4 blue+, 0 epic+, not shared"
"289","dungeon","176944","Old Treasure Chest","#345 chest census: 1 spawn, own table 84 rows, 2 blue+, 0 epic+, not shared"
"409","raid","179703","Cache of the Firelord","#345 chest census: 1 spawn, own table 15 rows, 14 blue+, 14 epic+, not shared"
"429","dungeon","179501","Knot Thimblejack's Cache","#345 chest census: 1 spawn, own table 25 rows, 11 blue+, 4 epic+, not shared"
"429","dungeon","179564","Gordok Tribute","#345 chest census: 1 spawn, own table 25 rows, 12 blue+, 1 epic+, not shared"
"429","dungeon","300400","Gordok Tribute","#345 chest census: 1 spawn, own table 20 rows, 7 blue+, 0 epic+, not shared"
"429","dungeon","300401","Gordok Tribute","#345 chest census: 1 spawn, own table 16 rows, 3 blue+, 0 epic+, not shared"
"533","raid","181366","Four Horsemen Chest","#345 chest census: 1 spawn, own table 10 rows, 10 blue+, 10 epic+, not shared"
"800","dungeon","379545","Half-Buried Treasure Chest","#345 chest census: 2 spawn, own table 10 rows, 2 blue+, 0 epic+, not shared"
"815","dungeon","2020027","Harlow Family Chest","#345 chest census: 1 spawn, own table 5 rows, 5 blue+, 0 epic+, not shared"
