creature_entry,map_id,category,note
639,36,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
642,36,dungeon,"DC_BOSS_ORDER_1121 Deadmines door-boss addendum; live template, static spawn, and creature loot verified"
644,36,dungeon,"DC_BOSS_ORDER_1121 Deadmines door-boss addendum; live template, static spawn, and creature loot verified"
645,36,dungeon,"DC_BOSS_ORDER_1121 Deadmines door-boss addendum; live template, static spawn, and creature loot verified"
646,36,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
647,36,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
1666,34,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
1696,34,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
1717,34,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
1763,36,dungeon,"DC_BOSS_ORDER_1121 Deadmines door-boss addendum; live template, static spawn, and creature loot verified"
2748,70,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3669,43,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3670,43,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3674,43,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3872,33,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3914,33,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3927,33,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3974,189,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
3975,189,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4275,33,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4278,33,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4279,33,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4421,47,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4424,47,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4543,189,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4829,48,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4831,48,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4842,47,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4854,70,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
4887,48,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5709,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5710,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5712,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5715,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5719,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5720,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5721,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5722,109,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
5775,43,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
6228,90,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
6229,90,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
6235,90,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
6487,189,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
6488,189,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
6910,70,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
7023,70,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
7206,70,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
7228,70,dungeon,"DcBossEntries1121; live template, static dungeon/raid spawn, and creature loot verified"
